skill1,skill2,skill3,skill4,skill5,skill6,skill7,skill8,skill9,skill10,skill11,skill12,skill13,skill14,skill15,Job Role,Root Node,Technology,Description
Artificial Intelligence,Machine Learning,RPA,Intelligent Business Process Management Suites (iBPMS),Data Science,,,,,,,,,,,Hyperautomation Architect,RPA,Hyperautomation,"Hyperautomation Architects generally design the workflow of automation and are responsible for implementing and managing the various operations. They also have to ensure that the various components adhere to the regulations and produce outcomes accordingly, throughout the different phases of the automation lifecycle."
RPA,Artificial Intelligence,Machine Learning,Natural Language Processing (NLP),Intelligent Business Process Management Suites (iBPMS),DigitalOps,User Experience,,,,,,,,,AI/ Ml Engineer in Hyperautomation,RPA,Hyperautomation,AI/ML engineer in Hyperautomation takes care of the Artificial Intelligence part. They are responsible for identifying the best models that can be used for training the automation systems and ensure that the system performs as expected. They also have to train the models using various test cases so that the automation can be performed in any scenario.
Process Design,RPA,C,Database,Python,VB Script,Artificial Intelligence,Web Developmet,Javscript,ASP.NET,Machine Learning,Analytics,Project Management Skills,Java,Troubleshooting,RPA Developer,RPA,Hyperautomation,"The roles and responsibilities of an RPA Developer include designing, developing, and implementing innovative RPA systems. RPA refers to an advanced automation technology designed to enhance business productivity and maximize efficiency. RPA is extremely versatile and has already begun transforming business models across industries around the globe, including in healthcare, banking, and the supply chain. RPA systems carry out processes on their own, but they still rely on highly skilled RPA Development teams to maintain them and make improvements."
Information Security,Risk Management,Cyber Security,Linux,Virtualization,Networking,Secure SDLC,Security Automation,Identity and Access Management,Computer Forensic Skills,Python,Java,PHP,Communication Protocols,Hacking,Chief Information Security Officer,Networking,Cybersecurity,"The CISO (chief information security officer) is a senior-level executive responsible for developing and implementing an information security program, which includes procedures and policies designed to protect enterprise communications, systems, and assets from both internal and external threats. The CISO may also work alongside the chief information officer to procure cybersecurity products and services and manage disaster recovery and business continuity plans. The chief information security officer may also be referred to as the chief security architect, the security manager, the corporate security officer, or the information security manager, depending on the company's structure and existing titles. CISO is also responsible for the overall corporate security of the company."
Operating system,Unix,Linux,Firewall,Networking,Network Analyzers,Secure SDLC,Wireless Security,Network Switches,Switching and Routing,VPN,Cloud Security,,,,Information Security Architect,Networking,Cybersecurity,"An Information Security Architect is responsible for designing, building, testing, and implementing security systems within an organization’s IT network. A Security Architect is expected to have a thorough understanding of complex IT systems and stay up to date with the latest security standards, systems, and authentication protocols, as well as best practice security products."
C++,Python,PHP,Go Lang,Java,Data Science,Data Structures and Algorithms,System Design,Networking,,Communication Protocols,Network Protocols,Testing,Identity and Access Management,Computer Forensic Skills,Cybersecurity Engineer,Networking,Cybersecurity,"Cyber Security Engineer helps to design, and implement methodologies to secure the organization’s cyberspace. As a cyber security engineer, you will be responsible for planning, implementing, managing, monitoring, and upgrading security measures for the protection of the organization’s data, systems, and networks. Troubleshooting security and network problems. Ensuring that the organization’s data and infrastructure are protected by enabling the appropriate security controls. Designing, implementing, maintaining, overseeing, and upgrading all security measures needed to protect organizations’ data, systems, and networks. Daily administrative tasks, reporting, and communication with the relevant departments in the organization."
RF development,PCB Designing,Networking,Computer hardware knowledge,Analog Design and Analysis,Firmware Development,CAD,Cadence,Circuit Board Design,test equipment,Matlab,verilog,SPI,SOC,Signal Integrity,Computer Hardware Engineer,Computer hardware knowledge,Computer Hardware Engineering,"Computer hardware engineers research, design, develop, and test computer systems and components such as circuit boards. Computer hardware engineers research, design, develop, and test computer systems and components such as processors, circuit boards, memory devices, networks, and routers."
Python,PowerShell,DevOps,Cloud Computing,Cyber Security,Operating systems,,,,,,,,,,Security Analyst for Information Security Analyst,Cyber Security,Information Security Analyst,"Security analysts are responsible for ensuring that the company's digital assets are protected from unauthorized access. This includes securing both online and on-premise infrastructures, weeding through metrics and data to filter out suspicious activity, and finding and mitigating risks before breaches occur. If a breach does occur, security analysts are often on the front line, leading efforts to counter the attack. Security analysts are also responsible for generating reports for IT administrators and business managers to evaluate the efficacy of the security policies in place. They will then help to make the necessary changes for a more secure network and may also create training programs and modules to educate employees and users on proper security protocols. Furthermore, security analysts are responsible for keeping the company's security systems up to date and creating documentation and planning for all security-related information, including incident response and disaster recovery plans."
SQL,Java,Software Testing,Python,NoSQL,Hadoop,Pig,Apache Spark,Hive HQL,Data Warehousing,Data Mining,ETL,Big data,,,Big Data Tester,Big data,Big Data,"Big Data Testers are responsible for the procedures that involves examining and validating the functionality of the Big Data Applications. Big Data is a collection of a huge amount of data that traditional storage systems cannot handle. Testing such a huge amount of data would take some special tools, techniques, and terminologies."
"Spark
",Big data,Scala,Java,Hadoop,Kafka,ETL,Python,Software Testing,Data Warehousing,MySQL,Oracle,Javascript,Data Analysis,,Big Data developer,Big data,Big Data,"Big Data Developers are responsible for the actual coding or programming of Hadoop applications: quite similar to a Software Developer. They could work on trillions of bytes of data each day with the help of different programming languages like Java, C++, Ruby, etc. along with several databases. They are also responsible for investigating and analyzing alternative solutions to data storing, processing, etc. to ensure the most streamlined approaches are implemented."
Big data,Hadoop,Spark,SQL,Data Warehousing,Scala,Perl,Data Structures and Algorithms,Docker,Linux,Git,Google Cloud,Kubernetes,Hive HQL,Data Mining,Big Data engineer,Big data,Big Data,"A big data engineer is a professional who is responsible for the management of data sets that are too big for traditional database systems to handle. They create, design, and implement data processing jobs to transform the data into a more usable format. They also ensure that the data is secure and complies with industry standards to protect the company’s information."
